,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
84,75,1378.628353196093,0.17599854699999984,"[7, 1, 2, 12, 16, 5, 19, 8, 3, 11, 17, 13, 14, 10, 18, 0, 6, 15, 4, 9]",10,0.4,2000
85,100,1294.9013214479025,0.2293320259999998,"[7, 1, 11, 12, 16, 5, 18, 8, 3, 2, 17, 13, 14, 10, 19, 0, 6, 15, 4, 9]",10,0.4,2000
86,125,1266.4117470029469,0.2850279880000004,"[7, 1, 11, 2, 16, 5, 18, 8, 3, 12, 17, 13, 14, 10, 19, 0, 6, 15, 4, 9]",10,0.4,2000
87,150,1266.4117470029469,0.34087831899999976,"[7, 1, 11, 2, 16, 5, 18, 8, 3, 12, 17, 13, 14, 10, 19, 0, 6, 15, 4, 9]",10,0.4,2000
88,175,1263.1000767717153,0.3945719830000005,"[7, 1, 11, 2, 16, 5, 18, 8, 3, 17, 12, 13, 14, 10, 19, 0, 6, 15, 4, 9]",10,0.4,2000
89,200,1252.9875563733613,0.448582075,"[7, 1, 11, 17, 16, 5, 8, 18, 3, 2, 12, 13, 14, 10, 19, 0, 6, 15, 4, 9]",10,0.4,2000
90,300,1252.9875563733613,0.6171745920000005,"[7, 1, 11, 17, 16, 5, 8, 18, 3, 2, 12, 13, 14, 10, 19, 0, 6, 15, 4, 9]",10,0.4,2000
91,400,1252.9875563733613,0.6171745920000005,"[7, 1, 11, 17, 16, 5, 8, 18, 3, 2, 12, 13, 14, 10, 19, 0, 6, 15, 4, 9]",10,0.4,2000
92,500,1252.9875563733613,0.6171745920000005,"[7, 1, 11, 17, 16, 5, 8, 18, 3, 2, 12, 13, 14, 10, 19, 0, 6, 15, 4, 9]",10,0.4,2000
93,600,1252.9875563733613,0.6171745920000005,"[7, 1, 11, 17, 16, 5, 8, 18, 3, 2, 12, 13, 14, 10, 19, 0, 6, 15, 4, 9]",10,0.4,2000
94,700,1252.9875563733613,0.6171745920000005,"[7, 1, 11, 17, 16, 5, 8, 18, 3, 2, 12, 13, 14, 10, 19, 0, 6, 15, 4, 9]",10,0.4,2000
95,800,1252.9875563733613,0.6171745920000005,"[7, 1, 11, 17, 16, 5, 8, 18, 3, 2, 12, 13, 14, 10, 19, 0, 6, 15, 4, 9]",10,0.4,2000
96,900,1252.9875563733613,0.6171745920000005,"[7, 1, 11, 17, 16, 5, 8, 18, 3, 2, 12, 13, 14, 10, 19, 0, 6, 15, 4, 9]",10,0.4,2000
97,1000,1252.9875563733613,0.6171745920000005,"[7, 1, 11, 17, 16, 5, 8, 18, 3, 2, 12, 13, 14, 10, 19, 0, 6, 15, 4, 9]",10,0.4,2000
98,1500,1252.9875563733613,0.6171745920000005,"[7, 1, 11, 17, 16, 5, 8, 18, 3, 2, 12, 13, 14, 10, 19, 0, 6, 15, 4, 9]",10,0.4,2000
99,2000,1252.9875563733613,0.6171745920000005,"[7, 1, 11, 17, 16, 5, 8, 18, 3, 2, 12, 13, 14, 10, 19, 0, 6, 15, 4, 9]",10,0.4,2000
100,0,2633.137458865322,0.00272365100000016,"[18, 1, 19, 8, 10, 17, 6, 13, 4, 2, 5, 14, 9, 7, 16, 11, 3, 0, 15, 12]",50,0.05,2000
101,10,1728.6225438542679,0.08785923800000006,"[10, 5, 16, 2, 7, 11, 17, 1, 3, 19, 14, 8, 0, 18, 9, 6, 15, 4, 13, 12]",50,0.05,2000
102,25,1615.4991869722085,0.21009212199999983,"[16, 2, 7, 11, 17, 1, 3, 10, 19, 14, 5, 8, 0, 18, 9, 6, 15, 4, 13, 12]",50,0.05,2000
