,Iteration,Time,Fitness,Temperature,max_iters
65,65,0.0127502530000001,8.0,5,1200
66,66,0.0128320930000001,8.0,5,1200
67,67,0.012915715000000105,8.0,5,1200
68,68,0.0129984729999999,8.0,5,1200
69,69,0.013080956999999893,8.0,5,1200
70,70,0.01316092499999999,8.0,5,1200
71,71,0.013240936999999953,8.0,5,1200
72,72,0.013318425000000023,11.0,5,1200
73,73,0.01340434299999993,11.0,5,1200
74,74,0.013487296999999954,11.0,5,1200
75,75,0.013567909000000045,11.0,5,1200
76,76,0.013626458999999924,11.0,5,1200
77,77,0.013749310999999986,11.0,5,1200
78,78,0.013884731999999955,11.0,5,1200
79,79,0.013995376000000004,11.0,5,1200
80,80,0.014083379999999979,11.0,5,1200
81,81,0.01416937500000004,9.0,5,1200
82,82,0.014253759000000032,9.0,5,1200
83,83,0.014337765000000058,9.0,5,1200
84,84,0.014424648000000095,9.0,5,1200
85,85,0.014506613000000002,9.0,5,1200
86,86,0.01459287499999995,9.0,5,1200
87,87,0.014676920999999954,9.0,5,1200
88,88,0.014758956999999961,9.0,5,1200
89,89,0.014814647999999986,9.0,5,1200
90,90,0.014899503999999952,9.0,5,1200
91,91,0.014985951000000108,9.0,5,1200
92,92,0.015069575999999918,9.0,5,1200
93,93,0.015150836999999973,9.0,5,1200
94,94,0.015232112999999936,9.0,5,1200
95,95,0.015317385999999988,9.0,5,1200
96,96,0.015401543000000073,9.0,5,1200
97,97,0.015485230999999988,9.0,5,1200
98,98,0.015568422000000082,9.0,5,1200
99,99,0.015653209999999973,9.0,5,1200
100,100,0.015739332999999966,9.0,5,1200
101,101,0.020505414000000055,9.0,5,1200
102,102,0.02059612300000002,9.0,5,1200
103,103,0.02068293100000007,9.0,5,1200
104,104,0.020769282999999916,9.0,5,1200
105,105,0.020852563999999907,10.0,5,1200
106,106,0.02093568900000009,6.0,5,1200
107,107,0.021025958000000067,6.0,5,1200
108,108,0.02110955399999992,6.0,5,1200
109,109,0.021194087000000028,6.0,5,1200
110,110,0.02127817199999993,5.0,5,1200
111,111,0.02136247899999999,5.0,5,1200
112,112,0.021446389000000066,5.0,5,1200
113,113,0.021529659000000034,5.0,5,1200
114,114,0.021612090000000084,5.0,5,1200
115,115,0.021696567,5.0,5,1200
116,116,0.02178054600000001,5.0,5,1200
117,117,0.021865634000000078,5.0,5,1200
118,118,0.021951100999999973,4.0,5,1200
119,119,0.02203608899999998,4.0,5,1200
120,120,0.022120963999999965,4.0,5,1200
121,121,0.022207034000000014,4.0,5,1200
122,122,0.022289886999999897,4.0,5,1200
123,123,0.022373691000000084,4.0,5,1200
124,124,0.022456365999999894,4.0,5,1200
125,125,0.022542967999999997,4.0,5,1200
126,126,0.02262701800000011,4.0,5,1200
127,127,0.022712708000000026,4.0,5,1200
128,128,0.02279440900000007,4.0,5,1200
129,129,0.022876069999999915,7.0,5,1200
130,130,0.022958719000000016,7.0,5,1200
131,131,0.023043021000000108,7.0,5,1200
132,132,0.02312600499999995,7.0,5,1200
133,133,0.023207868000000076,7.0,5,1200
134,134,0.02328888700000009,7.0,5,1200
135,135,0.02337100000000003,7.0,5,1200
136,136,0.0234550790000001,7.0,5,1200
137,137,0.02353918300000002,7.0,5,1200
138,138,0.023621410999999926,7.0,5,1200
139,139,0.023704897000000003,7.0,5,1200
140,140,0.023786990999999924,7.0,5,1200
141,141,0.023870792000000085,6.0,5,1200
142,142,0.023954094999999898,6.0,5,1200
143,143,0.024036847999999944,6.0,5,1200
