,Iteration,Time,Fitness,Temperature,max_iters
203,203,0.14470742199999997,15.0,10,1900
204,204,0.14529214199999996,17.0,10,1900
205,205,0.14586894499999992,14.0,10,1900
206,206,0.14644804599999994,15.0,10,1900
207,207,0.14704070199999997,15.0,10,1900
208,208,0.14762127199999986,15.0,10,1900
209,209,0.14822778599999986,14.0,10,1900
210,210,0.14886829099999987,13.0,10,1900
211,211,0.14945100199999994,12.0,10,1900
212,212,0.14981711799999986,12.0,10,1900
213,213,0.15040799199999988,12.0,10,1900
214,214,0.15100469999999988,13.0,10,1900
215,215,0.15172394499999986,13.0,10,1900
216,216,0.15234180899999994,13.0,10,1900
217,217,0.1526648399999999,13.0,10,1900
218,218,0.15324058899999993,14.0,10,1900
219,219,0.15388073800000002,14.0,10,1900
220,220,0.1544812419999999,12.0,10,1900
221,221,0.15508528300000002,13.0,10,1900
222,222,0.15568531099999983,12.0,10,1900
223,223,0.1562979899999999,12.0,10,1900
224,224,0.15687625399999994,12.0,10,1900
225,225,0.15747019399999984,13.0,10,1900
226,226,0.15778889100000004,13.0,10,1900
227,227,0.15838273999999997,12.0,10,1900
228,228,0.15870232399999984,12.0,10,1900
229,229,0.15933110399999983,11.0,10,1900
230,230,0.15963792199999993,11.0,10,1900
231,231,0.16023108399999986,12.0,10,1900
232,232,0.16123649500000004,13.0,10,1900
233,233,0.16183885499999984,14.0,10,1900
234,234,0.16244402400000002,14.0,10,1900
235,235,0.16301905900000002,15.0,10,1900
236,236,0.1635962929999999,15.0,10,1900
237,237,0.16419457399999993,16.0,10,1900
238,238,0.16487607599999987,14.0,10,1900
239,239,0.16546114199999984,14.0,10,1900
240,240,0.16603436699999996,13.0,10,1900
241,241,0.166630917,13.0,10,1900
242,242,0.16723359999999987,14.0,10,1900
243,243,0.167809573,16.0,10,1900
244,244,0.16840264599999988,16.0,10,1900
245,245,0.16899283099999995,15.0,10,1900
246,246,0.169575845,14.0,10,1900
247,247,0.17020819499999984,14.0,10,1900
248,248,0.1708119829999999,11.0,10,1900
249,249,0.17145108199999992,11.0,10,1900
250,250,0.17202921399999993,11.0,10,1900
251,251,0.17288221299999984,13.0,10,1900
252,252,0.17324804800000004,13.0,10,1900
253,253,0.173849763,10.0,10,1900
254,254,0.17443703399999988,10.0,10,1900
