,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
23,5,15.0,0.8801576549999979,"[27.0, 0.0, 14.0, 12.0, 20.0, 11.0, 4.0, 6.0, 4.0, 3.0, 12.0, 14.0, 15.0, 20.0, 23.0, 15.0, 13.0, 21.0, 5.0, 0.0, 31.0, 5.0, 30.0, 0.0, 29.0, 3.0, 13.0, 21.0, 9.0, 0.0, 10.0, 23.0, 2.0, 30.0, 3.0, 18.0, 20.0, 17.0, 27.0, 14.0, 1.0, 10.0, 22.0, 11.0, 2.0, 16.0, 32.0, 0.0, 19.0, 13.0]",True,10,0.3,50
24,10,15.0,1.764377721999999,"[27.0, 0.0, 14.0, 12.0, 20.0, 11.0, 4.0, 6.0, 4.0, 3.0, 12.0, 14.0, 15.0, 20.0, 23.0, 15.0, 13.0, 21.0, 5.0, 0.0, 31.0, 5.0, 30.0, 0.0, 29.0, 3.0, 13.0, 21.0, 9.0, 0.0, 10.0, 23.0, 2.0, 30.0, 3.0, 18.0, 20.0, 17.0, 27.0, 14.0, 1.0, 10.0, 22.0, 11.0, 2.0, 16.0, 32.0, 0.0, 19.0, 13.0]",True,10,0.3,50
25,20,15.0,3.482817353999998,"[27.0, 0.0, 14.0, 12.0, 20.0, 11.0, 4.0, 6.0, 4.0, 3.0, 12.0, 14.0, 15.0, 20.0, 23.0, 15.0, 13.0, 21.0, 5.0, 0.0, 31.0, 5.0, 30.0, 0.0, 29.0, 3.0, 13.0, 21.0, 9.0, 0.0, 10.0, 23.0, 2.0, 30.0, 3.0, 18.0, 20.0, 17.0, 27.0, 14.0, 1.0, 10.0, 22.0, 11.0, 2.0, 16.0, 32.0, 0.0, 19.0, 13.0]",True,10,0.3,50
26,30,15.0,5.184611693999997,"[27.0, 0.0, 14.0, 12.0, 20.0, 11.0, 4.0, 6.0, 4.0, 3.0, 12.0, 14.0, 15.0, 20.0, 23.0, 15.0, 13.0, 21.0, 5.0, 0.0, 31.0, 5.0, 30.0, 0.0, 29.0, 3.0, 13.0, 21.0, 9.0, 0.0, 10.0, 23.0, 2.0, 30.0, 3.0, 18.0, 20.0, 17.0, 27.0, 14.0, 1.0, 10.0, 22.0, 11.0, 2.0, 16.0, 32.0, 0.0, 19.0, 13.0]",True,10,0.3,50
27,50,15.0,8.592753424000001,"[27.0, 0.0, 14.0, 12.0, 20.0, 11.0, 4.0, 6.0, 4.0, 3.0, 12.0, 14.0, 15.0, 20.0, 23.0, 15.0, 13.0, 21.0, 5.0, 0.0, 31.0, 5.0, 30.0, 0.0, 29.0, 3.0, 13.0, 21.0, 9.0, 0.0, 10.0, 23.0, 2.0, 30.0, 3.0, 18.0, 20.0, 17.0, 27.0, 14.0, 1.0, 10.0, 22.0, 11.0, 2.0, 16.0, 32.0, 0.0, 19.0, 13.0]",True,10,0.3,50
28,0,18.0,0.003487683999999547,"[0, 3, 3, 9, 19, 21, 23, 6, 24, 24, 12, 1, 23, 24, 17, 25, 13, 8, 9, 20, 16, 5, 15, 0, 18, 24, 29, 19, 19, 14, 32, 1, 9, 32, 31, 10, 23, 11, 28, 0, 0, 5, 17, 15, 4, 31, 1, 1, 11, 18]",True,10,0.4,50
29,1,15.0,0.18479620300000477,"[0.0, 5.0, 27.0, 30.0, 9.0, 19.0, 7.0, 21.0, 28.0, 8.0, 0.0, 25.0, 10.0, 23.0, 32.0, 19.0, 26.0, 14.0, 32.0, 6.0, 4.0, 29.0, 27.0, 17.0, 2.0, 20.0, 15.0, 4.0, 13.0, 30.0, 23.0, 9.0, 26.0, 26.0, 22.0, 12.0, 15.0, 26.0, 16.0, 0.0, 10.0, 11.0, 13.0, 7.0, 30.0, 6.0, 30.0, 15.0, 18.0, 7.0]",True,10,0.4,50
30,5,15.0,0.8725999100000053,"[0.0, 5.0, 27.0, 30.0, 9.0, 19.0, 7.0, 21.0, 28.0, 8.0, 0.0, 25.0, 10.0, 23.0, 32.0, 19.0, 26.0, 14.0, 32.0, 6.0, 4.0, 29.0, 27.0, 17.0, 2.0, 20.0, 15.0, 4.0, 13.0, 30.0, 23.0, 9.0, 26.0, 26.0, 22.0, 12.0, 15.0, 26.0, 16.0, 0.0, 10.0, 11.0, 13.0, 7.0, 30.0, 6.0, 30.0, 15.0, 18.0, 7.0]",True,10,0.4,50
31,10,15.0,1.7471134540000008,"[0.0, 5.0, 27.0, 30.0, 9.0, 19.0, 7.0, 21.0, 28.0, 8.0, 0.0, 25.0, 10.0, 23.0, 32.0, 19.0, 26.0, 14.0, 32.0, 6.0, 4.0, 29.0, 27.0, 17.0, 2.0, 20.0, 15.0, 4.0, 13.0, 30.0, 23.0, 9.0, 26.0, 26.0, 22.0, 12.0, 15.0, 26.0, 16.0, 0.0, 10.0, 11.0, 13.0, 7.0, 30.0, 6.0, 30.0, 15.0, 18.0, 7.0]",True,10,0.4,50
32,20,15.0,3.4578034160000044,"[0.0, 5.0, 27.0, 30.0, 9.0, 19.0, 7.0, 21.0, 28.0, 8.0, 0.0, 25.0, 10.0, 23.0, 32.0, 19.0, 26.0, 14.0, 32.0, 6.0, 4.0, 29.0, 27.0, 17.0, 2.0, 20.0, 15.0, 4.0, 13.0, 30.0, 23.0, 9.0, 26.0, 26.0, 22.0, 12.0, 15.0, 26.0, 16.0, 0.0, 10.0, 11.0, 13.0, 7.0, 30.0, 6.0, 30.0, 15.0, 18.0, 7.0]",True,10,0.4,50
33,30,15.0,5.172779676000005,"[0.0, 5.0, 27.0, 30.0, 9.0, 19.0, 7.0, 21.0, 28.0, 8.0, 0.0, 25.0, 10.0, 23.0, 32.0, 19.0, 26.0, 14.0, 32.0, 6.0, 4.0, 29.0, 27.0, 17.0, 2.0, 20.0, 15.0, 4.0, 13.0, 30.0, 23.0, 9.0, 26.0, 26.0, 22.0, 12.0, 15.0, 26.0, 16.0, 0.0, 10.0, 11.0, 13.0, 7.0, 30.0, 6.0, 30.0, 15.0, 18.0, 7.0]",True,10,0.4,50
34,50,15.0,8.581294867000004,"[0.0, 5.0, 27.0, 30.0, 9.0, 19.0, 7.0, 21.0, 28.0, 8.0, 0.0, 25.0, 10.0, 23.0, 32.0, 19.0, 26.0, 14.0, 32.0, 6.0, 4.0, 29.0, 27.0, 17.0, 2.0, 20.0, 15.0, 4.0, 13.0, 30.0, 23.0, 9.0, 26.0, 26.0, 22.0, 12.0, 15.0, 26.0, 16.0, 0.0, 10.0, 11.0, 13.0, 7.0, 30.0, 6.0, 30.0, 15.0, 18.0, 7.0]",True,10,0.4,50
35,0,18.0,0.015659270000000447,"[0, 3, 3, 9, 19, 21, 23, 6, 24, 24, 12, 1, 23, 24, 17, 25, 13, 8, 9, 20, 16, 5, 15, 0, 18, 24, 29, 19, 19, 14, 32, 1, 9, 32, 31, 10, 23, 11, 28, 0, 0, 5, 17, 15, 4, 31, 1, 1, 11, 18]",True,50,0.05,50
36,1,9.0,0.1932605049999978,"[15.0, 17.0, 19.0, 19.0, 1.0, 27.0, 9.0, 13.0, 6.0, 24.0, 10.0, 5.0, 15.0, 14.0, 21.0, 0.0, 14.0, 6.0, 24.0, 3.0, 4.0, 31.0, 27.0, 3.0, 13.0, 17.0, 10.0, 3.0, 27.0, 15.0, 20.0, 25.0, 11.0, 17.0, 5.0, 19.0, 7.0, 4.0, 31.0, 29.0, 27.0, 32.0, 18.0, 29.0, 13.0, 9.0, 8.0, 25.0, 17.0, 16.0]",True,50,0.05,50
37,5,9.0,1.3583185859999958,"[15.0, 17.0, 19.0, 19.0, 1.0, 27.0, 9.0, 13.0, 6.0, 24.0, 10.0, 5.0, 15.0, 14.0, 21.0, 0.0, 14.0, 6.0, 24.0, 3.0, 4.0, 31.0, 27.0, 3.0, 13.0, 17.0, 10.0, 3.0, 27.0, 15.0, 20.0, 25.0, 11.0, 17.0, 5.0, 19.0, 7.0, 4.0, 31.0, 29.0, 27.0, 32.0, 18.0, 29.0, 13.0, 9.0, 8.0, 25.0, 17.0, 16.0]",True,50,0.05,50
38,10,9.0,2.851840036999995,"[15.0, 17.0, 19.0, 19.0, 1.0, 27.0, 9.0, 13.0, 6.0, 24.0, 10.0, 5.0, 15.0, 14.0, 21.0, 0.0, 14.0, 6.0, 24.0, 3.0, 4.0, 31.0, 27.0, 3.0, 13.0, 17.0, 10.0, 3.0, 27.0, 15.0, 20.0, 25.0, 11.0, 17.0, 5.0, 19.0, 7.0, 4.0, 31.0, 29.0, 27.0, 32.0, 18.0, 29.0, 13.0, 9.0, 8.0, 25.0, 17.0, 16.0]",True,50,0.05,50
39,20,9.0,5.841983299999995,"[15.0, 17.0, 19.0, 19.0, 1.0, 27.0, 9.0, 13.0, 6.0, 24.0, 10.0, 5.0, 15.0, 14.0, 21.0, 0.0, 14.0, 6.0, 24.0, 3.0, 4.0, 31.0, 27.0, 3.0, 13.0, 17.0, 10.0, 3.0, 27.0, 15.0, 20.0, 25.0, 11.0, 17.0, 5.0, 19.0, 7.0, 4.0, 31.0, 29.0, 27.0, 32.0, 18.0, 29.0, 13.0, 9.0, 8.0, 25.0, 17.0, 16.0]",True,50,0.05,50
40,30,9.0,8.823167695999999,"[15.0, 17.0, 19.0, 19.0, 1.0, 27.0, 9.0, 13.0, 6.0, 24.0, 10.0, 5.0, 15.0, 14.0, 21.0, 0.0, 14.0, 6.0, 24.0, 3.0, 4.0, 31.0, 27.0, 3.0, 13.0, 17.0, 10.0, 3.0, 27.0, 15.0, 20.0, 25.0, 11.0, 17.0, 5.0, 19.0, 7.0, 4.0, 31.0, 29.0, 27.0, 32.0, 18.0, 29.0, 13.0, 9.0, 8.0, 25.0, 17.0, 16.0]",True,50,0.05,50
41,50,9.0,14.790376244999997,"[15.0, 17.0, 19.0, 19.0, 1.0, 27.0, 9.0, 13.0, 6.0, 24.0, 10.0, 5.0, 15.0, 14.0, 21.0, 0.0, 14.0, 6.0, 24.0, 3.0, 4.0, 31.0, 27.0, 3.0, 13.0, 17.0, 10.0, 3.0, 27.0, 15.0, 20.0, 25.0, 11.0, 17.0, 5.0, 19.0, 7.0, 4.0, 31.0, 29.0, 27.0, 32.0, 18.0, 29.0, 13.0, 9.0, 8.0, 25.0, 17.0, 16.0]",True,50,0.05,50
42,0,18.0,0.016425866999995264,"[0, 3, 3, 9, 19, 21, 23, 6, 24, 24, 12, 1, 23, 24, 17, 25, 13, 8, 9, 20, 16, 5, 15, 0, 18, 24, 29, 19, 19, 14, 32, 1, 9, 32, 31, 10, 23, 11, 28, 0, 0, 5, 17, 15, 4, 31, 1, 1, 11, 18]",True,50,0.1,50
43,1,9.0,0.21241337200000032,"[15.0, 17.0, 19.0, 19.0, 1.0, 27.0, 9.0, 13.0, 6.0, 24.0, 10.0, 5.0, 15.0, 14.0, 21.0, 0.0, 14.0, 6.0, 24.0, 3.0, 4.0, 31.0, 27.0, 3.0, 13.0, 17.0, 10.0, 3.0, 27.0, 15.0, 20.0, 25.0, 11.0, 17.0, 5.0, 19.0, 7.0, 4.0, 31.0, 29.0, 27.0, 32.0, 18.0, 29.0, 13.0, 9.0, 8.0, 25.0, 17.0, 16.0]",True,50,0.1,50
